fips,county_name,year,total_pop,median_income,poverty_rate,share_nh_white,share_nh_black,share_hispanic,share_nonwhite,high_poverty,low_income,high_nonwhite,high_black,high_hispanic
12067,"Lafayette County, Florida",2016,8742,36236,0.18027210884353742,0.6926332646991535,0.1649508121711279,0.1285746968657058,0.30736673530084646,1,1,1,1,1
12069,"Lake County, Florida",2016,317586,47141,0.13502645232681618,0.7189170807277399,0.09655652327243644,0.13807913447066306,0.28108291927226015,0,0,1,0,1
12071,"Lee County, Florida",2016,680970,50390,0.15539210716224033,0.6913212035772501,0.08212109197174619,0.19641393894004142,0.30867879642274987,0,0,1,0,1
12073,"Leon County, Florida",2016,284788,48248,0.21333078966291474,0.5736863912805314,0.3079905052179165,0.06081365787884321,0.42631360871946855,1,0,1,1,0
12075,"Levy County, Florida",2016,39707,35480,0.22158479741842954,0.8045684639987911,0.08877527891807489,0.07928073135719142,0.19543153600120888,1,1,0,0,0
12077,"Liberty County, Florida",2016,8285,37917,0.1693488852797874,0.7368738684369343,0.17791188895594448,0.06155703077851539,0.26312613156306575,1,1,0,1,0
12079,"Madison County, Florida",2016,18560,29806,0.28470246382952963,0.5448275862068965,0.3844288793103448,0.04827586206896552,0.45517241379310347,1,1,1,1,0
12081,"Manatee County, Florida",2016,353411,51483,0.14341048653755314,0.7206340493080294,0.08668094654665531,0.1567014043139574,0.27936595069197057,0,0,1,0,1
12083,"Marion County, Florida",2016,340341,40295,0.18217597910595745,0.7197810431302722,0.12265639461598808,0.11923041890339395,0.28021895686972775,1,1,1,1,1
12085,"Martin County, Florida",2016,153592,52622,0.1179361505714836,0.793628574404917,0.05304312724621074,0.1287632168342101,0.20637142559508304,0,0,0,0,1
12086,"Miami-Dade County, Florida",2016,2664418,44224,0.19906768811510128,0.14467362103093434,0.1664746297315211,0.6642812801895198,0.8553263789690657,1,1,1,1,1
12087,"Monroe County, Florida",2016,77150,60303,0.12970280020615016,0.6832404406999352,0.06618276085547635,0.22506804925469864,0.31675955930006483,0,0,1,0,1
12089,"Nassau County, Florida",2016,77187,59196,0.12712597290285385,0.8751214582766528,0.062225504294764665,0.03785611566714602,0.12487854172334723,0,0,0,0,0
12091,"Okaloosa County, Florida",2016,195798,57655,0.12005302723432461,0.7492619945045403,0.09251882041696034,0.0834891061195722,0.25073800549545966,0,0,0,0,0
12093,"Okeechobee County, Florida",2016,39420,36415,0.2528043091959129,0.6376458650431254,0.08490613901572806,0.2508878741755454,0.36235413495687463,1,1,1,0,1
12095,"Orange County, Florida",2016,1256055,49391,0.17339662992259874,0.42656969639068354,0.19981211013848915,0.2933812611708882,0.5734303036093165,1,0,1,1,1
12097,"Osceola County, Florida",2016,311962,45536,0.19478340155586163,0.35528686186138053,0.09359473269180221,0.5024009334470224,0.6447131381386195,1,0,1,0,1
12099,"Palm Beach County, Florida",2016,1398757,55277,0.13853873073606873,0.5692661412954502,0.17839410276409698,0.20707742660090353,0.43073385870454983,0,0,1,1,1
12101,"Pasco County, Florida",2016,488310,46010,0.13555337618503271,0.7730929122893244,0.047758595973869056,0.13427740574634967,0.22690708771067558,0,0,0,0,1
12103,"Pinellas County, Florida",2016,939548,47090,0.1413379463199719,0.752504395730713,0.10037805412815524,0.08849468042079808,0.24749560426928696,0,0,0,0,0
12105,"Polk County, Florida",2016,637691,44146,0.17678853540983344,0.6191995809882843,0.1462934242446577,0.19733852288961268,0.3808004190117157,1,1,1,1,1
12107,"Putnam County, Florida",2016,72304,33003,0.2699649836213713,0.7186739322859039,0.16362856826731578,0.09544423545032087,0.2813260677140961,1,1,1,1,1
12109,"St. Johns County, Florida",2016,218362,69523,0.08984824310786242,0.8405079638398623,0.050640679239061744,0.0612927157655636,0.15949203616013774,0,0,0,0,0
12111,"St. Lucie County, Florida",2016,293136,44140,0.1789170943409224,0.5930046121936575,0.19221112384695158,0.17658356530757055,0.4069953878063425,1,1,1,1,1
12113,"Santa Rosa County, Florida",2016,163903,60652,0.12290897068267219,0.8307657577957694,0.05624058131943894,0.05112170002989573,0.16923424220423056,0,0,0,0,0
12115,"Sarasota County, Florida",2016,398011,52796,0.11032909327283387,0.8368989801789398,0.04425505827728379,0.08601269814150865,0.16310101982106018,0,0,0,0,0
12117,"Seminole County, Florida",2016,442905,58538,0.12070036944214918,0.633795057630869,0.10578792291800725,0.1925740282904912,0.36620494236913104,0,0,1,0,1
12119,"Sumter County, Florida",2016,113589,52594,0.09935066182544713,0.8465872575689547,0.08055357472994744,0.05596492618123234,0.1534127424310453,0,0,0,0,0
12121,"Suwannee County, Florida",2016,43653,37796,0.2274158160831823,0.7557098023045381,0.13465283027512429,0.08746248825968433,0.2442901976954619,1,1,0,1,0
12123,"Taylor County, Florida",2016,22582,36195,0.14779332615715823,0.7217252679124967,0.21326720396776194,0.03440793552386857,0.2782747320875033,0,1,1,1,0
12125,"Union County, Florida",2016,15159,37778,0.2239389986956958,0.7017613299030279,0.22105679794181674,0.0541592453328056,0.29823867009697214,1,1,1,1,0
12127,"Volusia County, Florida",2016,510806,42240,0.16703570522969904,0.736232542295901,0.10172355062391593,0.12332274875393007,0.26376745770409904,0,1,0,0,1
12129,"Wakulla County, Florida",2016,31314,54078,0.14301667927519002,0.790509037491218,0.15002874113814907,0.0367886568308105,0.20949096250878196,0,0,0,1,0
12131,"Walton County, Florida",2016,61528,46910,0.17434559380523526,0.8444773111428943,0.04950591600572097,0.05888376023924067,0.15552268885710574,1,0,0,0,0
12133,"Washington County, Florida",2016,24627,38330,0.20506787330316742,0.7760994030941649,0.15686035651926747,0.0343931457343566,0.22390059690583508,1,1,0,1,0
12001,"Alachua County, Florida",2017,259865,45478,0.23332270173458622,0.6200835048967733,0.19834529467223366,0.09258268716448925,0.37991649510322667,1,1,1,1,1
12003,"Baker County, Florida",2017,27537,59506,0.17160855434738997,0.8190434687874496,0.13763300286886734,0.023531975160692886,0.1809565312125504,1,0,0,1,0
12005,"Bay County, Florida",2017,180117,50283,0.1535107240040789,0.7728754087620824,0.10747458596356813,0.06007206426933604,0.22712459123791762,0,0,0,0,0
12007,"Bradford County, Florida",2017,26775,46106,0.18785805899957247,0.7452100840336134,0.19088702147525677,0.038132586367880486,0.25478991596638656,1,1,0,1,0
12009,"Brevard County, Florida",2017,568183,51536,0.13372719324954016,0.7527662742461496,0.09775547666860852,0.09687371850266552,0.2472337257538504,0,0,0,0,1
12011,"Broward County, Florida",2017,1890416,54895,0.13996401465026337,0.3815250188318338,0.27416029064502206,0.28352859899619975,0.6184749811681662,0,0,1,1,1
12013,"Calhoun County, Florida",2017,14458,36237,0.1285864382122363,0.7687093650574076,0.12781850878406417,0.05782265873564808,0.2312906349425924,0,1,0,1,0
12015,"Charlotte County, Florida",2017,173236,46511,0.11973565315993692,0.8443568311436422,0.0547403541988963,0.06853656283913274,0.15564316885635776,0,1,0,0,0
12017,"Citrus County, Florida",2017,141373,40574,0.17386823119004202,0.8862229704399002,0.027989785885565135,0.0532492060011459,0.11377702956009983,1,1,0,0,0
12019,"Clay County, Florida",2017,203291,61971,0.10422291931385007,0.7416166972468038,0.09612329124260297,0.09292098518871962,0.2583833027531962,0,0,0,0,1
12021,"Collier County, Florida",2017,356774,62407,0.12846823181743555,0.6362627321497643,0.0683766193724879,0.27173504795753056,0.36373726785023575,0,0,1,0,1
12023,"Columbia County, Florida",2017,68484,43504,0.16783293932230103,0.7305063956544594,0.17621634250335844,0.05807195841364406,0.2694936043455406,1,1,0,1,0
12027,"DeSoto County, Florida",2017,35675,35435,0.29872937831353846,0.5545059565522075,0.12790469516468114,0.30517168885774354,0.44549404344779253,1,1,1,1,1
12029,"Dixie County, Florida",2017,16323,35910,0.23657306434023992,0.8480671445200024,0.07069778839674079,0.03871837284812841,0.15193285547999758,1,1,0,0,0
12031,"Duval County, Florida",2017,912043,51296,0.1604846836292471,0.540882392606489,0.2925487065851062,0.08951222694544007,0.45911760739351104,0,0,1,1,0
12033,"Escambia County, Florida",2017,309924,47361,0.1457721042656632,0.6484267110646481,0.21584001239013437,0.05464242846633368,0.3515732889353519,0,0,1,1,0
12035,"Flagler County, Florida",2017,105015,51049,0.1331684645066926,0.7473789458648764,0.09990001428367376,0.09994762652954339,0.2526210541351236,0,0,0,0,1
12037,"Franklin County, Florida",2017,11675,41267,0.20101908282545708,0.7821841541755888,0.13593147751605997,0.05190578158458244,0.21781584582441116,1,1,0,1,0
12039,"Gadsden County, Florida",2017,46113,39830,0.24440511399361914,0.3258733979571921,0.553466484505454,0.10040552555678442,0.6741266020428078,1,1,1,1,1
12041,"Gilchrist County, Florida",2017,17191,42934,0.19784673844205194,0.8715025303938108,0.05805363271479262,0.05508696410912687,0.12849746960618924,1,1,0,0,0
12043,"Glades County, Florida",2017,13197,37385,0.1797715053763441,0.6065772524058498,0.12874138061680684,0.20800181859513525,0.3934227475941502,1,1,1,1,1
12045,"Gulf County, Florida",2017,16018,44647,0.1489502275730436,0.7446622549631664,0.16818579098514172,0.04757148208265701,0.2553377450368336,0,1,0,1,0
12047,"Hamilton County, Florida",2017,14238,36209,0.26576121868404146,0.5487428009551903,0.34119960668633237,0.09200730439668493,0.45125719904480965,1,1,1,1,1
12049,"Hardee County, Florida",2017,27326,39063,0.24520230760174247,0.47368806265095514,0.07926516870379859,0.43185976725462927,0.5263119373490448,1,1,1,0,1
12051,"Hendry County, Florida",2017,39064,37966,0.25481423338566195,0.3353215236534917,0.1094613966823674,0.5185848863403645,0.6646784763465083,1,1,1,1,1
12053,"Hernando County, Florida",2017,179144,44324,0.14349831691809,0.7930324208458001,0.04880989594962712,0.12205265038181574,0.20696757915419994,0,1,0,0,1
12055,"Highlands County, Florida",2017,100177,36374,0.187363238512035,0.6838396039010951,0.09251624624414787,0.1885961847529872,0.3161603960989049,1,1,1,0,1
12057,"Hillsborough County, Florida",2017,1351087,53742,0.15650288093994189,0.5028106998291005,0.15520466113581138,0.27446567097455604,0.49718930017089946,0,0,1,1,1
12059,"Holmes County, Florida",2017,19483,37474,0.26630620375640296,0.8710670841246214,0.07349997433660115,0.027305856387619978,0.12893291587537858,1,1,0,0,0
12061,"Indian River County, Florida",2017,147981,49009,0.12703514158990106,0.7591988160642245,0.08854515106669099,0.12077226130381603,0.24080118393577554,0,0,0,0,1
12063,"Jackson County, Florida",2017,48571,36944,0.21642911651035127,0.6554116653970476,0.26802001194128183,0.04648864548804842,0.34458833460295235,1,1,1,1,0
12065,"Jefferson County, Florida",2017,14085,47599,0.139084354096082,0.58217962371317,0.3511537096201633,0.04032658856940007,0.41782037628683,0,0,1,1,0
12067,"Lafayette County, Florida",2017,8684,41512,0.1778778497044751,0.6832105020727776,0.15096729617687701,0.14256103178258867,0.31678949792722244,1,1,1,1,1
12069,"Lake County, Florida",2017,326215,49734,0.12837642763788987,0.7109513664301151,0.09919225050963322,0.14410434835921096,0.28904863356988486,0,0,1,0,1
12071,"Lee County, Florida",2017,700165,52052,0.14870207088578224,0.6844815150714475,0.08219348296472974,0.2021580627423536,0.3155184849285525,0,0,1,0,1
12073,"Leon County, Florida",2017,285890,49941,0.205323499636353,0.5717618664521319,0.3074189373535276,0.06123334149498059,0.4282381335478681,1,0,1,1,0
12075,"Levy County, Florida",2017,39713,36554,0.21926579759687748,0.8025835368770932,0.08654596731548864,0.08002417344446403,0.19741646312290684,1,1,0,0,0
12077,"Liberty County, Florida",2017,8347,36741,0.1782608695652174,0.748652210374985,0.18186174673535402,0.048640230022762666,0.25134778962501503,1,1,0,1,0
12079,"Madison County, Florida",2017,18518,31816,0.3186793141189347,0.5439572308024625,0.387730856463981,0.050545415271627606,0.4560427691975375,1,1,1,1,0
12081,"Manatee County, Florida",2017,363542,53408,0.1342443640411912,0.7186652436307222,0.08605608155316305,0.15858140187378625,0.28133475636927785,0,0,1,0,1
12083,"Marion County, Florida",2017,343778,41964,0.17599420161372445,0.7128001210083251,0.12320450988719464,0.1235303015318025,0.2871998789916749,1,1,1,1,1
12085,"Martin County, Florida",2017,155719,55588,0.10882999895255054,0.789884342951085,0.05421945941086187,0.13196205986424264,0.210115657048915,0,0,0,0,1
12086,"Miami-Dade County, Florida",2017,2702602,46338,0.18978940214583875,0.13736132808308438,0.16339956826791366,0.6745491937029574,0.8626386719169157,1,1,1,1,1
12087,"Monroe County, Florida",2017,76745,63030,0.12702587810191826,0.6729168023975504,0.06713140921232653,0.23481660042999544,0.32708319760244964,0,0,1,0,1
12089,"Nassau County, Florida",2017,78435,64294,0.11416577602080892,0.8750047810288775,0.061413909606680694,0.03798049340218015,0.12499521897112253,0,0,0,0,0
12091,"Okaloosa County, Florida",2017,197591,59955,0.11461486757572126,0.7451047871613585,0.09491829081284067,0.08658795188039942,0.25489521283864147,0,0,0,0,0
12093,"Okeechobee County, Florida",2017,40228,39059,0.22333504305806764,0.6401262802028438,0.08016804215968977,0.24987570846176793,0.3598737197971562,1,1,1,0,1
12095,"Orange County, Florida",2017,1290216,51586,0.16661255256230284,0.4160977696757752,0.1991891280219746,0.3015037792121629,0.5839022303242247,1,0,1,1,1
12097,"Osceola County, Florida",2017,325168,47343,0.17790778021188056,0.341706440978202,0.09188788564680411,0.5160317128376716,0.658293559021798,1,0,1,0,1
12099,"Palm Beach County, Florida",2017,1426772,57256,0.1343731441252774,0.5600179986711261,0.18072684353211305,0.21321556632734592,0.4399820013288739,0,0,1,1,1
12101,"Pasco County, Florida",2017,498136,48289,0.13560909515715328,0.7642511282059518,0.04987192252718133,0.1402508551881414,0.23574887179404824,0,0,0,0,1
12103,"Pinellas County, Florida",2017,949842,48968,0.13682141612111906,0.7466136473223968,0.10000715908540578,0.09151100919942474,0.25338635267760323,0,0,0,0,0
12105,"Polk County, Florida",2017,652256,45988,0.173092579487597,0.6097943138890252,0.14717687533729087,0.20605253152136585,0.39020568611097484,1,1,1,1,1
12107,"Putnam County, Florida",2017,72435,33619,0.27611634575993443,0.7173189756333265,0.161924484020156,0.0977289984123697,0.28268102436667353,1,1,1,1,1
12109,"St. Johns County, Florida",2017,226578,73640,0.09081771682562373,0.8359681875557203,0.05003133578723442,0.06392500595821307,0.16403181244427967,0,0,0,0,0
12111,"St. Lucie County, Florida",2017,298763,47132,0.16628935577826284,0.5859159266709734,0.19232301188567527,0.18125403748121421,0.41408407332902664,1,0,1,1,1
12113,"Santa Rosa County, Florida",2017,166778,62731,0.11306224585548952,0.8286344721725887,0.0576574848001535,0.05238100948566358,0.17136552782741132,0,0,0,0,0
12115,"Sarasota County, Florida",2017,404839,55236,0.10501110824464688,0.8348997996734504,0.04456833457250907,0.08816838298681698,0.1651002003265496,0,0,0,0,0
12117,"Seminole County, Florida",2017,449260,60739,0.11789495900203867,0.6226772915460981,0.10625250411788274,0.2005943106441704,0.3773227084539019,0,0,1,0,1
12119,"Sumter County, Florida",2017,116754,54771,0.09210477325191749,0.847337136200901,0.07318807064426058,0.056597632629288935,0.152662863799099,0,0,0,0,0
12121,"Suwannee County, Florida",2017,43814,40600,0.20369094838847587,0.7574519559958004,0.1331309627059844,0.08823663669146849,0.2425480440041996,1,1,0,1,0
12123,"Taylor County, Florida",2017,22350,37188,0.1642331759798002,0.7183892617449664,0.21355704697986577,0.04093959731543624,0.2816107382550336,0,1,1,1,0
12125,"Union County, Florida",2017,15300,37460,0.21440771626645233,0.6988235294117647,0.21895424836601307,0.05431372549019608,0.30117647058823527,1,1,1,1,0
12127,"Volusia County, Florida",2017,518660,43838,0.1606842681629708,0.7291192688852042,0.10247946631704778,0.12868353063664056,0.2708807311147958,0,1,0,0,1
12129,"Wakulla County, Florida",2017,31586,57866,0.12621670766926943,0.7931995187741404,0.14914835686696637,0.03596530108275819,0.2068004812258596,0,0,0,1,0
12131,"Walton County, Florida",2017,63457,50619,0.1697568612103126,0.8432166664040216,0.048773184991411506,0.06010369226405282,0.1567833335959784,1,0,0,0,0
12133,"Washington County, Florida",2017,24472,36989,0.2100303538259412,0.7762749264465512,0.15323635174893757,0.03542824452435436,0.22372507355344884,1,1,0,1,0
12001,"Alachua County, Florida",2018,263148,49078,0.2179171486029557,0.6154597412862723,0.19752762703877666,0.09587380485506256,0.38454025871372766,1,1,1,1,1
12003,"Baker County, Florida",2018,27785,61769,0.14629082488221673,0.8148281446823826,0.1356847219722872,0.024257692999820047,0.18517185531761737,0,0,0,1,0
12005,"Bay County, Florida",2018,182482,51829,0.14659359959094295,0.7652864392104427,0.10768185355267917,0.06276235464319768,0.2347135607895573,0,0,0,0,0
12007,"Bradford County, Florida",2018,26979,46197,0.2033702083869308,0.7409466622187627,0.19741280255013158,0.039586344934949405,0.2590533377812373,1,1,0,1,0
12009,"Brevard County, Florida",2018,576808,54359,0.1271966057519105,0.7484119499036075,0.09656419467136378,0.10002461824385238,0.2515880500963925,0,0,0,0,1
12011,"Broward County, Florida",2018,1909151,57333,0.13487515220185348,0.3721224774782089,0.27485463433746204,0.2905003323466818,0.6278775225217911,0,0,1,1,1
12013,"Calhoun County, Florida",2018,14444,38609,0.12224562540505508,0.7698006092495153,0.12288839656604819,0.05794793685959568,0.23019939075048468,0,1,0,1,0
12015,"Charlotte County, Florida",2018,176954,49225,0.11108867128670594,0.8414559716084407,0.052974219288628686,0.07031770968726336,0.15854402839155934,0,0,0,0,0
12017,"Citrus County, Florida",2018,143087,41424,0.16692068827987008,0.8831480148441159,0.027214212332357237,0.05502246884762417,0.11685198515588413,1,1,0,0,0
12019,"Clay County, Florida",2018,207291,62653,0.10632878100099359,0.7343685929442185,0.09765016329700758,0.09666121539285352,0.2656314070557815,0,0,0,0,1
12021,"Collier County, Florida",2018,363922,65675,0.12294458780765281,0.6326438082885893,0.06787993031473777,0.2749517753804387,0.36735619171141065,0,0,1,0,1
12023,"Columbia County, Florida",2018,69105,44491,0.1736013494517852,0.7273279791621445,0.17508139787280225,0.059619419723609,0.27267202083785547,1,1,0,1,0
12027,"DeSoto County, Florida",2018,36399,35057,0.2845144661009586,0.5499326904585291,0.12093738838979093,0.3118766999093382,0.4500673095414709,1,1,1,1,1
