county_clean,year,fips_code,county,year_month,cust_hours_out,max_customers_out,n_intervals,mcc,has_mcc,max_pct_out,n_new,stock,stock_total,pre2014_stock,n_unknown,stock_capacity_mw,stock_area_sqft,cum_capacity_mw,cum_area_sqft
ALACHUA,2021,12001,Alachua,2021-03,9884,3209,1262,218548,1,0.014683273239746,0,0,0,0,0,0,0,0,0
ALACHUA,2021,12001,Alachua,2021-04,8642.75,2815,1359,218548,1,0.0128804656185369,0,0,0,0,0,0,0,0,0
ALACHUA,2021,12001,Alachua,2021-05,14483.25,1304,876,218548,1,0.00596665263466149,0,0,0,0,0,0,0,0,0
ALACHUA,2021,12001,Alachua,2021-06,28566.25,1848,1464,218548,1,0.00845580833501107,0,0,0,0,0,0,0,0,0
ALACHUA,2021,12001,Alachua,2021-07,43757,3305,1353,218548,1,0.0151225360103959,0,0,0,0,0,0,0,0,0
ALACHUA,2021,12001,Alachua,2021-08,29770,3617,1868,218548,1,0.0165501400150081,0,0,0,0,0,0,0,0,0
ALACHUA,2021,12001,Alachua,2021-09,17879.25,2131,1635,218548,1,0.00975071837765617,0,0,0,0,0,0,0,0,0
ALACHUA,2021,12001,Alachua,2021-10,22339.5,6186,1799,218548,1,0.0283049947837546,0,0,0,0,0,0,0,0,0
ALACHUA,2021,12001,Alachua,2021-11,29097.5,5132,1350,218548,1,0.0234822556143273,0,0,0,0,0,0,0,0,0
ALACHUA,2021,12001,Alachua,2021-12,17391.25,5134,1253,218548,1,0.0234914069220492,0,0,0,0,0,0,0,0,0
ALACHUA,2022,12001,Alachua,2022-01,34121.25,5669,1213,218548,1,0.0259393817376503,0,0,0,0,0,0,0,0,0
ALACHUA,2022,12001,Alachua,2022-02,3839,549,1011,218548,1,0.00251203396965426,0,0,0,0,0,0,0,0,0
ALACHUA,2022,12001,Alachua,2022-03,38371.25,4905,1501,218548,1,0.0224435821878947,0,0,0,0,0,0,0,0,0
ALACHUA,2022,12001,Alachua,2022-04,18632.5,2419,1334,218548,1,0.0110685066896059,0,0,0,0,0,0,0,0,0
ALACHUA,2022,12001,Alachua,2022-05,37833.5,5517,1686,218548,1,0.0252438823507879,0,0,0,0,0,0,0,0,0
ALACHUA,2022,12001,Alachua,2022-06,22108.25,1953,1854,218548,1,0.00893625199040943,0,0,0,0,0,0,0,0,0
ALACHUA,2022,12001,Alachua,2022-07,39583.75,6229,1989,218548,1,0.0285017478997749,0,0,0,0,0,0,0,0,0
ALACHUA,2022,12001,Alachua,2022-08,41924.5,6306,1988,218548,1,0.028854073247067,0,0,0,0,0,0,0,0,0
ALACHUA,2022,12001,Alachua,2022-09,138108.25,13256,1944,218548,1,0.0606548675805773,0,0,0,0,0,0,0,0,0
ALACHUA,2022,12001,Alachua,2022-10,12908.25,1592,1733,218548,1,0.00728444094661127,0,0,0,0,0,0,0,0,0
ALACHUA,2022,12001,Alachua,2022-11,126800.5,11989,777,218548,1,0.0548575141387704,0,0,0,0,0,0,0,0,0
ALACHUA,2023,12001,Alachua,2023-01,8562.5,3723,1319,218548,1,0.0170351593242674,0,0,0,0,0,0,0,0,0
ALACHUA,2023,12001,Alachua,2023-02,9340.75,780,976,218548,1,0.00356901001153065,0,0,0,0,0,0,0,0,0
ALACHUA,2023,12001,Alachua,2023-03,22838.5,4089,1514,218548,1,0.0187098486373703,0,0,0,0,0,0,0,0,0
ALACHUA,2023,12001,Alachua,2023-04,50724.25,10479,1823,218548,1,0.047948276808756,0,0,0,0,0,0,0,0,0
ALACHUA,2023,12001,Alachua,2023-05,35659,3092,2603,218548,1,0.0141479217380164,0,0,0,0,0,0,0,0,0
ALACHUA,2023,12001,Alachua,2023-06,40068.75,6516,2354,218548,1,0.0298149605578637,0,0,0,0,0,0,0,0,0
ALACHUA,2023,12001,Alachua,2023-07,27628.75,1523,2278,218548,1,0.00696872083020664,0,0,0,0,0,0,0,0,0
ALACHUA,2023,12001,Alachua,2023-08,278691.25,15349,2110,218548,1,0.0702317111115178,0,0,0,0,0,0,0,0,0
ALACHUA,2023,12001,Alachua,2023-09,53395.5,2796,2031,218548,1,0.0127935281951791,0,0,0,0,0,0,0,0,0
ALACHUA,2023,12001,Alachua,2023-10,15594.5,2451,1673,218548,1,0.0112149276131559,0,0,0,0,0,0,0,0,0
ALACHUA,2023,12001,Alachua,2023-11,14408.75,1735,1674,218548,1,0.00793875944872522,0,0,0,0,0,0,0,0,0
ALACHUA,2023,12001,Alachua,2023-12,46036.75,9934,1794,218548,1,0.0454545454545455,0,0,0,0,0,0,0,0,0
ALACHUA,2024,12001,Alachua,2024-01,14522.5,2788,1765,218548,1,0.0127569229642916,0,0,0,0,0,0,0,0,0
ALACHUA,2024,12001,Alachua,2024-02,16207.5,16721,1514,218548,1,0.076509508208723,0,0,0,0,0,0,0,0,0
ALACHUA,2024,12001,Alachua,2024-03,16419,2083,1679,218548,1,0.0095310869923312,0,0,0,0,0,0,0,0,0
ALACHUA,2024,12001,Alachua,2024-04,12416.5,4526,1558,218548,1,0.0207094093745996,0,0,0,0,0,0,0,0,0
ALACHUA,2024,12001,Alachua,2024-05,63356.5,14495,1696,218548,1,0.0663241027142779,0,0,0,0,0,0,0,0,0
ALACHUA,2024,12001,Alachua,2024-06,20346.75,1243,1931,218548,1,0.00568753774914435,0,0,0,0,0,0,0,0,0
ALACHUA,2024,12001,Alachua,2024-07,26306.5,4068,2084,218548,1,0.0186137599062906,0,0,0,0,0,0,0,0,0
ALACHUA,2024,12001,Alachua,2024-08,571585.5,28256,2163,218548,1,0.129289675494628,0,0,0,0,0,0,0,0,0
ALACHUA,2024,12001,Alachua,2024-09,3084135.5,89495,1965,218548,1,0.409498142284532,0,0,0,0,0,0,0,0,0
ALACHUA,2024,12001,Alachua,2024-10,232994.75,9437,2173,218548,1,0.0431804454856599,0,0,0,0,0,0,0,0,0
ALACHUA,2024,12001,Alachua,2024-11,16685.25,2513,1443,218548,1,0.011498618152534,0,0,0,0,0,0,0,0,0
ALACHUA,2024,12001,Alachua,2024-12,13298,1782,1443,218548,1,0.00815381518018925,0,0,0,0,0,0,0,0,0
ALACHUA,2025,12001,Alachua,2025-01,9140.75,1127,1574,218548,1,0.00515676190127569,1,1,1,0,0,1.2,2100,1.2,2100
ALACHUA,2025,12001,Alachua,2025-02,6548.75,825,1347,218548,1,0.0037749144352728,1,1,1,0,0,1.2,2100,1.2,2100
